word,definition,theme,score_distinct,score_total,flags,target_code,link
초병을 흔들어 뺐나,"초병을 흔들어 빼다 보니 온통 식초 냄새가 풍긴다는 뜻으로, 하는 짓이 몹시 덜렁댐을 비유적으로 이르는 말.",health,1,2,,615497,https://opendict.korean.go.kr/dictionary/view?sense_no=615497
칠 년 간병에 삼 년 묵은 쑥을 찾는다,오랫동안 앓고 있는 이를 간병하다 보면 별 어려운 일도 다 겪게 됨을 비유적으로 이르는 말.,health,1,2,,606499,https://opendict.korean.go.kr/dictionary/view?sense_no=606499
칼날 우에 선 목숨,목숨이 언제 끊어질지 모를 매우 위태로운 처지에 놓여 있음을 비유적으로 이르는 말.,health,1,2,sexual:gray|violent:gray,606526,https://opendict.korean.go.kr/dictionary/view?sense_no=606526
콧병 든 병아리 같다,꾸벅꾸벅 조는 모양을 비유적으로 이르는 말.,health,1,2,,606429,https://opendict.korean.go.kr/dictionary/view?sense_no=606429
큰 바람 뒤는 고요하다,큰일을 치르느라고 들끓던 분위기가 일이 끝나고 잠잠하여짐을 비유적으로 이르는 말.,health,1,2,,615621,https://opendict.korean.go.kr/dictionary/view?sense_no=615621
파방에 수수엿 장수,기회를 놓쳐서 이제는 별 볼 일 없게 된 사람이나 그런 경우를 비유적으로 이르는 말. &lt;동의 속담&gt; ‘파장에 수수엿 장수’,health,1,2,,615883,https://opendict.korean.go.kr/dictionary/view?sense_no=615883
파장에 수수엿 장수,기회를 놓쳐서 이제는 별 볼 일 없게 된 사람이나 그런 경우를 비유적으로 이르는 말. &lt;동의 속담&gt; ‘파방에 수수엿 장수’,health,1,2,,606622,https://opendict.korean.go.kr/dictionary/view?sense_no=606622
팔자가 좋으면 동이 장수 맏며느리가 됐으랴,"팔자가 사나워 동이 장수의 맏며느리가 되어 줄곧 머리에 동이를 이고 다니게 되었다는 뜻으로, 팔자가 좋다는 말을 들었을 때에 무엇이 좋으냐고 반문하는 말.",health,1,2,,615893,https://opendict.korean.go.kr/dictionary/view?sense_no=615893
하늬바람에 엿장수 골내듯,"하늬바람이 부는 겨울은 엿이 녹지 아니하므로 값이 더 나가는데도 엿장수가 공연히 성을 낸다는 뜻으로, 자기에게 유리한 조건이 이루어지는데도 도리어 못마땅하게 여기고 성을 내는 경우를 비유적으로 이르는 말.",health,1,2,,606728,https://opendict.korean.go.kr/dictionary/view?sense_no=606728
한숨이 구만 구천 두,"한숨이 구만 구천 말이나 된다는 뜻으로, 설움이 겹겹이 쌓임을 이르는 말.",health,1,2,,606772,https://opendict.korean.go.kr/dictionary/view?sense_no=606772
황소 얼음판 걷듯,넘어질까 봐 매우 조심스럽게 걷는 모양을 비유적으로 이르는 말.,health,1,2,sexual:gray|violent:gray,606952,https://opendict.korean.go.kr/dictionary/view?sense_no=606952
힘장수가 꾀장수를 못 당한다,덮어놓고 미욱하게 뚝심을 쓰는 것보다 실정에 맞추어서 요령 있게 꾀를 쓰는 것이 더 위력적이라는 말.,health,1,2,,607063,https://opendict.korean.go.kr/dictionary/view?sense_no=607063
